W W W W W W W W W W W W W W W W W W W
W N N N N N W b N N N D W D N N N N W
W N N N N N W N N N N N W N N N W W W
W N h N N N B N N N N N R N N N P w W
W N N N N N W N N N N N W N N N W W W
W N N N N N W N N N N N W N N N N N W
W W W W W W W W W O W W W W W W W W W
W N N N I I W N N N N N W N N N N p W
W N N N I I W N N N N N W N N N N N W
W N N N I I N N N N N N W N N N N N W
W N N N I I W N N N N N W N N N N N W
W N N N I I W N N N N g W N N N N N W
W W W N W W W W W G W W W W W N W W W
W N N N N N W H H N N N W N N N F F W
W N N N N N W H H N N N W N N N F F W
W N N N N N W i H N N N N N N N F S W
W N N N N N W H H N N N W N N N F F W
W o N N N N W H H N N f W N N N F F W
W W W W W W W W W W W W W W W W W W W

