W W W W W W W W W W W W W W W W W W W W W W W W W W W W W W W 
W p N N N b W N N N N f W N N N N N W N N N N N W N N N N N W
W N N N N N W N N N N N W N N N N N W N N N N N W N N N N N W 
W N N N N N W W N W W W W N N N N N W N N N N N W N N N N N W 
W N N N N N W N M N N N W N N N N N W N N N N N W N N N N N W 
W N N N N N W N N N N N W N N N N N W N N N N N W N N N N N W 
W W W G W W W W N M N W W W W W W W W W W W W W W W W W W W W 
W N N N N N W W W N W W W N N N N N W N N N N N W N N N N N W 
W N N N N N W N N N N N W N N N N N W N N N N N W N N N N N W 
W g N N N N P N s N C N F N N N N N R N N N N N N N N N N U W 
W N N N N N W N N N N N W N N N N N W N N N N N W N N N N N W 
W N N N N N W N N N N N W N N N N N W N N N N N W N N N N N W 
W W W H W W W W W B W W W W W W W W W W W W W W W W W W W W W 
W N N N N N W N N N N N W N N N N N W N N N N N W N N N N N W 
W N N N N N W N N N N N W N N N N N W N N N N N W N N N N N W 
W N N N N N W N N N N N W N N N N N W N N N N N W N N N N N W 
W N N N N N W N N N N N W N N N N N W N N N N N W N N N N N W 
W r N N N N W N N N N N W N N N N N W N N N N N W N N N N N W 
W W W W W W W W W W W W W W W W W W W W W W W W W W W W W W W 
